Trace File Name, Cache Size, Block Size, Replacement Policy, Associativity, Total Blocks, Tag Size (bits), Index Size (bits), Total Indices, Overhead Memory Size (KB), Implementation Memory Size (KB), Total Cache Accesses, Cache Hits, Cache Misses, Compulsory Misses, Conflict Misses, Hit Rate %, Miss Rate %, CPI
"TestTrace.trc", 256, 64, RND, 2, 4096, 15, 11, 2048, 8192, 270336, 55, 45, 10, 10, 0, 81.8, 18.2, 3.9
"TestTrace.trc", 1024, 4, RR, 2, 262144, 13, 17, 131072, 458752, 1507328, 81, 48, 33, 33, 0, 59.3, 40.7, 5.5
"TestTrace.trc", 1024, 4, RND, 2, 262144, 13, 17, 131072, 458752, 1507328, 81, 48, 33, 33, 0, 59.3, 40.7, 5.5
"TestTrace.trc", 1024, 16, RR, 2, 65536, 13, 15, 32768, 114688, 1163264, 61, 47, 14, 14, 0, 77.0, 23.0, 4.2
"TestTrace.trc", 1024, 16, RND, 2, 65536, 13, 15, 32768, 114688, 1163264, 61, 47, 14, 14, 0, 77.0, 23.0, 4.2
"TestTrace.trc", 1024, 64, RR, 2, 16384, 13, 13, 8192, 28672, 1077248, 55, 45, 10, 10, 0, 81.8, 18.2, 3.9
"TestTrace.trc", 1024, 64, RND, 2, 16384, 13, 13, 8192, 28672, 1077248, 55, 45, 10, 10, 0, 81.8, 18.2, 3.9
"Corruption1.trc", 8, 4, RR, 2, 2048, 20, 10, 1024, 5376, 13568, 27171, 20714, 6457, 2034, 4423, 76.2, 23.8, 5.2
"Corruption1.trc", 8, 4, RND, 2, 2048, 20, 10, 1024, 5376, 13568, 27171, 20423, 6748, 1969, 4779, 75.2, 24.8, 5.3
"Corruption1.trc", 8, 16, RR, 2, 512, 20, 8, 256, 1344, 9536, 21397, 18633, 2764, 511, 2253, 87.1, 12.9, 4.4
"Corruption1.trc", 8, 16, RND, 2, 512, 20, 8, 256, 1344, 9536, 21397, 18506, 2891, 503, 2388, 86.5, 13.5, 4.4
"Corruption1.trc", 8, 64, RR, 2, 128, 20, 6, 64, 336, 8528, 20106, 18545, 1561, 127, 1434, 92.2, 7.8, 4.1
"Corruption1.trc", 8, 64, RND, 2, 128, 20, 6, 64, 336, 8528, 20106, 18474, 1632, 127, 1505, 91.9, 8.1, 4.1
"Corruption1.trc", 64, 4, RR, 2, 16384, 17, 13, 8192, 36864, 102400, 27171, 21515, 5656, 5243, 413, 79.2, 20.8, 5.1
"Corruption1.trc", 64, 4, RND, 2, 16384, 17, 13, 8192, 36864, 102400, 27171, 21347, 5824, 4775, 1049, 78.6, 21.4, 5.2
"Corruption1.trc", 64, 16, RR, 2, 4096, 17, 11, 2048, 9216, 74752, 21397, 19303, 2094, 1807, 287, 90.2, 9.8, 4.3
